2024-07-26 18:41:17.941 INFO     Starting Connection Manager
2024-07-26 18:41:17.941 INFO     Initiating connection to Decoder on behalf of 
2024-07-26 18:41:17.941 INFO     Connected to Decoder server on port 5002 for 
2024-07-26 18:41:17.941 INFO     Connection Manager Running
2024-07-26 18:41:17.941 INFO     Message Coordinator Started
2024-07-26 18:41:28.866 INFO     [1;36mDECODED 51:[0m B0Response(type='RESPONSE', command='51', cmd_name='ASK_ME', params='', page=255, length=8, data=B0DecodedData(data=['18', '24', '4b']), checksum='b6', verified=True)
2024-07-26 18:44:19.389 INFO     [1;36mDECODED a5:[0m STDMessage(command='a5', command_str='STATUS_UPDATE', data='00 04 00 01 0f 00 00 16 00 00 43', checksum='ec', verified=True)

2024-07-26 18:44:19.596 INFO     [1;36mDECODED 2b:[0m B0Response(type='RESPONSE', command='2b', cmd_name='UNKNOWN2B', params='', page=255, length=45, data=B0GenDecodedData(data=[{'type': 'WORD16', 'idx': 255, 'idx_name': 'NA', 'len': 40, 'data': ['31 08', '51 06', '01 08', '01 00', '01 07', '01 05', '01 05', '51 08', '76 08', '78 08', '01 05', '51 08', '00 00', '79 08', '00 00', '00 00', '00 00', '00 00', '80 08', '81 08']}], length=45), checksum='ed', verified=True)

2024-07-26 18:44:19.796 INFO     [1;36mDECODED 22:[0m B0Response(type='RESPONSE', command='22', cmd_name='SYSTEM_CAPABILITIES', params='', page=255, length=47, data=B0DecodedData(data={'REPEATERS': 8, 'X10': 15, 'SIRENS': 8, 'ZONES': 64, 'KEYPADS': 32, 'KEYFOBS': 32, 'USERCODES': 48, 'CAMERASA': 0, 'UNK8': 1, 'POWERLINK': 1, 'TAGS': 32, 'CAMERASB': 16, 'PANEL': 1, 'UNK13': 1, 'PARTITIONS': 3, 'UNK15': 1, 'UNK16': 15, 'EVENTS': 1000, 'UKN18': 0, 'UNK19': 31, 'UNK20': 10}), checksum='bf', verified=True)

2024-07-26 18:44:19.997 INFO     [1;36mDECODED 35 01 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='01 00', page=255, length=11, data=B0Cmd35DecodedData(data='001234', length=3, config='01 00', config_str='COMMS_CS_REC2_ACCT', data_type='DIRECT_MAP_STRING'), checksum='df', verified=True)

2024-07-26 18:44:20.097 INFO     [1;36mDECODED 35 07 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='07 00', page=255, length=48, data=B0Cmd35DecodedData(data={'REPEATERS': 4, 'X10': 15, 'SIRENS': 4, 'ZONES': 30, 'KEYPADS': 8, 'KEYFOBS': 8, 'USERCODES': 8, 'CAMERASA': 0, 'UNK8': 1, 'POWERLINK': 1, 'TAGS': 8, 'CAMERASB': 16, 'PANEL': 1, 'UNK13': 1, 'EVENTS': 250, 'PARTITIONS': 3, 'UNK16': 0, 'UNK17': 31, 'UKN18': 0, 'UNK19': 0}, length=40, config='07 00', config_str='CAPABILITIES', data_type='INTEGER'), checksum='4b', verified=True)

2024-07-26 18:44:20.177 INFO     [1;36mDECODED 35 0e 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='0e 00', page=255, length=16, data=B0Cmd35DecodedData(data='ffffffffffffffff', length=8, config='0e 00', config_str='Unknown', data_type='DIRECT_MAP_STRING'), checksum='0d', verified=True)

2024-07-26 18:44:20.256 INFO     [1;36mDECODED 35 10 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='10 00', page=255, length=9, data=B0Cmd35DecodedData(data=0, length=1, config='10 00', config_str='Unknown', data_type='INTEGER'), checksum='15', verified=True)

2024-07-26 18:44:20.326 INFO     [1;36mDECODED 35 24 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='24 00', page=255, length=10, data=B0Cmd35DecodedData(data=[174, 7], length=2, config='24 00', config_str='PANEL_EPROM_VERSION', data_type='INTEGER'), checksum='48', verified=True)

2024-07-26 18:44:20.406 INFO     [1;36mDECODED 35 29 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='29 00', page=255, length=9, data=B0Cmd35DecodedData(data=4, length=1, config='29 00', config_str='Unknown', data_type='INTEGER'), checksum='f5', verified=True)

2024-07-26 18:44:20.489 INFO     [1;36mDECODED 35 2c 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='2c 00', page=255, length=24, data=B0Cmd35DecodedData(data='J-703883 I20.214', length=16, config='2c 00', config_str='PANEL_DEFAULT_VERSION', data_type='STRING'), checksum='8e', verified=True)

2024-07-26 18:44:20.566 INFO     [1;36mDECODED 35 2d 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='2d 00', page=255, length=24, data=B0Cmd35DecodedData(data='JS703642 I20.214', length=16, config='2d 00', config_str='PANEL_SOFTWARE_VERSION', data_type='STRING'), checksum='6d', verified=True)

2024-07-26 18:44:20.642 INFO     [1;36mDECODED 35 30 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='30 00', page=255, length=9, data=B0Cmd35DecodedData(data=0, length=1, config='30 00', config_str='PARTITIONS_ENABLED', data_type='INTEGER'), checksum='ef', verified=True)

2024-07-26 18:44:20.727 INFO     [1;36mDECODED 35 3c 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='3c 00', page=255, length=23, data=B0Cmd35DecodedData(data='PowerMaster-10', length=15, config='3c 00', config_str='PANEL_HARDWARE_VERSION', data_type='SPACE_PADDED_STRING'), checksum='96', verified=True)

2024-07-26 18:44:20.804 INFO     [1;36mDECODED 35 3d 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='3d 00', page=255, length=24, data=B0Cmd35DecodedData(data='JS702414 I02.036', length=16, config='3d 00', config_str='PANEL_RSU_VERSION', data_type='STRING'), checksum='5c', verified=True)

2024-07-26 18:44:20.880 INFO     [1;36mDECODED 35 3e 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='3e 00', page=255, length=24, data=B0Cmd35DecodedData(data='JS702413 I01.033', length=16, config='3e 00', config_str='PANEL_BOOT_VERSION', data_type='STRING'), checksum='5f', verified=True)

2024-07-26 18:44:20.956 INFO     [1;36mDECODED 35 5b 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='5b 00', page=255, length=9, data=B0Cmd35DecodedData(data=160, length=1, config='5b 00', config_str='BYPASS_ARM', data_type='INTEGER'), checksum='20', verified=True)

2024-07-26 18:44:21.026 INFO     [1;36mDECODED 35 5c 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='5c 00', page=255, length=9, data=B0Cmd35DecodedData(data=161, length=1, config='5c 00', config_str='Unknown', data_type='INTEGER'), checksum='1d', verified=True)

2024-07-26 18:44:21.238 INFO     [1;36mDECODED 56:[0m B0Response(type='RESPONSE', command='56', cmd_name='UNKNOWN', params='', page=255, length=12, data=B0GenDecodedData(data=[{'type': 'BYTES', 'idx': 255, 'idx_name': 'NA', 'len': 7, 'data': ['03', '00', '02', '00', '06', '00', '00']}], length=12), checksum='eb', verified=True)

2024-07-26 18:44:21.451 INFO     [1;36mDECODED 3c:[0m STDMessage(command='3c', command_str='EPROM_INFO', data='fd 0a 00 00 ae 07 01 00 00 00', checksum='05', verified=True)

2024-07-26 18:44:21.624 INFO     [1;36mDECODED 3f:[0m STDMessage(command='3f', command_str='CONFIG_VALUE', data='e0 01 01 02', checksum='db', verified=True)

2024-07-26 18:44:21.878 INFO     [1;36mDECODED 51:[0m B0Response(type='RESPONSE', command='51', cmd_name='ASK_ME', params='', page=255, length=6, data=B0DecodedData(data=['24']), checksum='df', verified=True)

2024-07-26 18:44:21.936 INFO     [1;36mDECODED 35 03 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='03 00', page=255, length=14, data=B0Cmd35DecodedData(data='052058105181', length=6, config='03 00', config_str='COMMS_CS_REC1_IP', data_type='DIRECT_MAP_STRING'), checksum='aa', verified=True)

2024-07-26 18:44:22.135 INFO     [1;36mDECODED 35 05 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='05 00', page=255, length=14, data=B0Cmd35DecodedData(data='192168200054', length=6, config='05 00', config_str='COMMS_CS_REC2_IP', data_type='DIRECT_MAP_STRING'), checksum='f0', verified=True)

2024-07-26 18:44:22.355 INFO     [1;36mDECODED 35 8a 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='8a 00', page=255, length=11, data=B0Cmd35DecodedData(data=[2, 0, 0], length=3, config='8a 00', config_str='Unknown', data_type='INTEGER'), checksum='82', verified=True)

2024-07-26 18:44:22.480 INFO     [1;36mDECODED 06:[0m STDMessage(command='06', command_str='HELLO', data='', checksum='f9', verified=True)

2024-07-26 18:44:23.865 INFO     [1;36mDECODED 51:[0m B0Response(type='RESPONSE', command='51', cmd_name='ASK_ME', params='', page=255, length=6, data=B0DecodedData(data=['24']), checksum='d9', verified=True)

2024-07-26 18:44:32.404 INFO     [1;36mDECODED 06:[0m STDMessage(command='06', command_str='HELLO', data='', checksum='f9', verified=True)

2024-07-26 18:44:33.050 INFO     [1;36mDECODED 35 08 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='08 00', page=255, length=104, data=B0Cmd35DecodedData(data={1: '1111'}, length=96, config='08 00', config_str='USER_CODES', data_type='DIRECT_MAP_STRING'), checksum='29', verified=True)

2024-07-26 18:44:33.239 INFO     [1;36mDECODED 42 e2 00:[0m B0Response(type='RESPONSE', command='42', cmd_name='SETTINGS2', params='e2 00', page=255, length=27, data=B0Cmd42DecodedData(data=[7, 1, 1, 1, 1, 1, 1, 1], length=8, config='e2 00', config_str='USER_PARTITION_ACCESS', data_type='INTEGER'), checksum='b5', verified=True)

2024-07-26 18:44:33.471 INFO     [1;36mDECODED 35 0f 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='0f 00', page=255, length=10, data=B0Cmd35DecodedData(data='aaaa', length=2, config='0f 00', config_str='DOWNLOAD_CODE', data_type='DIRECT_MAP_STRING'), checksum='a9', verified=True)

2024-07-26 18:44:33.548 INFO     [1;36mDECODED 35 54 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='54 00', page=255, length=10, data=B0Cmd35DecodedData(data='8888', length=2, config='54 00', config_str='INSTALLER_CODE', data_type='DIRECT_MAP_STRING'), checksum='a7', verified=True)

2024-07-26 18:44:33.640 INFO     [1;36mDECODED 35 55 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='55 00', page=255, length=10, data=B0Cmd35DecodedData(data='9999', length=2, config='55 00', config_str='MASTER_CODE', data_type='DIRECT_MAP_STRING'), checksum='83', verified=True)

2024-07-26 18:44:33.720 INFO     [1;36mDECODED 35 06 01:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='06 01', page=255, length=9, data=B0Cmd35DecodedData(data=0, length=1, config='06 01', config_str='Unknown', data_type='INTEGER'), checksum='03', verified=True)

2024-07-26 18:44:33.911 INFO     [1;36mDECODED 42 0d 00:[0m B0Response(type='RESPONSE', command='42', cmd_name='SETTINGS2', params='0d 00', page=255, length=19, data=B0Cmd42DecodedData(data=None, length=0, config='0d 00', config_str='ZONE_NAMES', data_type='SPACE_PADDED_STRING_LIST'), checksum='e3', verified=True)

2024-07-26 18:44:35.131 INFO     [1;36mDECODED 42 42 00:[0m B0Response(type='RESPONSE', command='42', cmd_name='SETTINGS2', params='42 00', page=255, length=109, data=B0Cmd42DecodedData(data=['Loft', 'Back door', 'Cellar', 'Bathroom', 'Bedroom', 'Child room', 'Conservatory', 'Play room', 'Dining room', 'Downstairs', 'Emergency', 'Fire', 'Front door', 'Garage', 'Garage door', 'Office', 'Hall', 'Kitchen', 'Laundry room', 'Living room', 'Master bath', 'Master Bdrm', 'Study', 'Upstairs', 'Utility room', 'Garden', 'Custom 1', 'Custom 2', 'Custom 3', 'Custom 4', 'Custom 5'], length=930, config='42 00', config_str='CUSTOM_ZONE_NAMES', data_type='SPACE_PADDED_STRING_LIST'), checksum='7d', verified=True)

2024-07-26 18:44:35.368 INFO     [1;36mDECODED 42 e9 00:[0m B0Response(type='RESPONSE', command='42', cmd_name='SETTINGS2', params='e9 00', page=255, length=127, data=B0Cmd42DecodedData(data=['0', '', '.', ',', '1', 'A', 'B', 'C', '2', 'D', 'E', 'F', '3', 'G', 'H', 'I', '4', 'J', 'K', 'L', '5', 'M', 'N', 'O', '6', 'P', 'Q', 'R', 'S', '7', 'T', 'U', 'V', '8', 'W', 'X', 'Y', 'Z', '9', '!', '#', '%', '&', "'", '*', '+', '-', '/', '=', '^', '@', '_', '"', ':'], length=108, config='e9 00', config_str='ACCEPTED_CHARS_UPPER', data_type='SPACE_PADDED_STRING_LIST'), checksum='29', verified=True)

2024-07-26 18:44:35.825 INFO     [1;36mDECODED 42 ea 00:[0m B0Response(type='RESPONSE', command='42', cmd_name='SETTINGS2', params='ea 00', page=255, length=127, data=B0Cmd42DecodedData(data=['0', '', '.', ',', '1', 'a', 'b', 'c', '2', 'd', 'e', 'f', '3', 'g', 'h', 'i', '4', 'j', 'k', 'l', '5', 'm', 'n', 'o', '6', 'p', 'q', 'r', 's', '7', 't', 'u', 'v', '8', 'w', 'x', 'y', 'z', '9', '!', '#', '%', '&', "'", '*', '+', '-', '/', '=', '^', '@', '_', '"', ':'], length=108, config='ea 00', config_str='ACCEPTED_CHARS_LOWER', data_type='SPACE_PADDED_STRING_LIST'), checksum='e3', verified=True)

2024-07-26 18:44:36.045 INFO     [1;36mDECODED 35 e8 00:[0m B0Response(type='RESPONSE', command='35', cmd_name='SETTINGS', params='e8 00', page=255, length=9, data=B0Cmd35DecodedData(data=0, length=1, config='e8 00', config_str='PANEL_LANGUAGE', data_type='INTEGER'), checksum='15', verified=True)

2024-07-26 18:44:36.242 INFO     [1;36mDECODED 76:[0m B0Response(type='RESPONSE', command='76', cmd_name='UNKNOWN', params='', page=255, length=10, data=B0GenDecodedData(data=[{'type': 'WORD40', 'idx': 18, 'idx_name': 'UKN18', 'len': 5, 'data': ['00 00 00 00 00']}], length=10), checksum='8b', verified=True)

2024-07-26 18:44:36.526 INFO     [1;36mDECODED 58:[0m B0Response(type='RESPONSE', command='58', cmd_name='UNKNOWN', params='', page=255, length=61, data=B0GenDecodedData(data=[{'type': 'WORD112', 'idx': 255, 'idx_name': 'NA', 'len': 56, 'data': ['04 05 00 00 01 00 ff 02 76 01 47 04 00 ff', '03 0c 00 00 01 00 0c 02 7e 00 52 17 00 07', '03 2d 01 00 01 00 16 03 68 00 a0 16 00 04', '0b 01 00 00 00 00 0c 07 46 00 01 00 00 ff']}], length=61), checksum='5b', verified=True)

2024-07-26 18:44:36.824 INFO     [1;36mDECODED 1d:[0m B0Response(type='RESPONSE', command='1d', cmd_name='ENROLLED', params='', page=255, length=9, data=B0GenDecodedData(data=[{'type': 'BITS', 'idx': 10, 'idx_name': 'TAGS', 'len': 4, 'data': ['01', '00', '00', '00']}], length=9), checksum='13', verified=True)

2024-07-26 18:44:37.211 INFO     [1;36mDECODED 42 a4 00:[0m B0Response(type='RESPONSE', command='42', cmd_name='SETTINGS2', params='a4 00', page=255, length=59, data=B0Cmd42DecodedData(data=['', '', '', ''], length=160, config='a4 00', config_str='EMAIL_ADDRESSES', data_type='INTEGER'), checksum='99', verified=True)

